,x,y,word,cluster
0,3.539438506516097,-1.6069197096557781,آلمان,کشورها
1,3.265129466265234,-1.2810455811945751,فرانسه,کشورها
2,2.9183979818693193,0.13346688178579427,برزیل,کشورها
3,1.96908874106105,0.06625303025064543,هند,کشورها
4,2.824819789624982,-1.389664833137983,روسیه,کشورها
5,2.5095855075778153,0.5229689578452946,چین,کشورها
6,2.8937908243916963,-0.86701471356524,هلند,کشورها
7,3.295174404720753,-0.5775330620377034,آمریکا,کشورها
8,1.9330731895570603,-1.161154962514292,انگلیس,کشورها
9,1.0531030646541846,-1.4983861384223294,عراق,کشورها
10,1.930517701164588,-0.1563917677142739,برلین,شهرها
11,1.7471823194591285,-0.6912770493971911,پاریس,شهرها
12,1.0953447811306618,0.19985664887233273,ورشو,شهرها
13,-0.0244791916294922,-1.068870480310797,بغداد,شهرها
14,0.968527703924098,0.9491043287255119,دو,اعداد
15,0.3212092973736025,1.2098845637046323,سه,اعداد
16,0.577222615023293,1.3551774775009562,چهار,اعداد
17,0.6604506165507751,1.3644011402913359,پنج,اعداد
18,0.7805944449425545,1.3167162705130808,شش,اعداد
19,-0.005378929244711731,1.3946336452619583,هفت,اعداد
20,0.5629319426954242,1.5091728410978984,هشت,اعداد
21,0.18283051986613322,1.1409064275292835,نه,اعداد
22,0.19450743830245099,1.2036852610079325,ده,اعداد
23,0.4347615773420695,1.3301300863435632,یازده,اعداد
24,0.015167678065356021,1.5243172053635137,دوازده,اعداد
25,-3.4738908993498185,-1.459524831312618,علی,اسامی پسر
26,-3.4177921414588783,-2.404346685615065,محمد,اسامی پسر
27,-2.977415814087743,-1.1435986659913355,رضا,اسامی پسر
28,-2.6651654006401255,-2.07660525336675,احمد,اسامی پسر
29,-3.3531607276155717,-0.8693416202683181,مرتضی,اسامی پسر
30,-2.7842993906360394,-1.6472357810424907,حسن,اسامی پسر
31,-3.1035040167532904,-1.4856011638836897,مهدی,اسامی پسر
32,-3.2187905155279175,-1.7355103309778606,حسین,اسامی پسر
33,-2.2970093428362723,-1.1882641077187805,امیر,اسامی پسر
34,-2.206363033685769,0.34317498948497976,مریم,اسامی دختر
35,-1.5480813900164163,1.0251431657198933,مینا,اسامی دختر
36,-2.8216582614017676,-0.10352342145369808,فاطمه,اسامی دختر
37,-2.5170190803315897,-0.0735626585176195,زهرا,اسامی دختر
38,-0.9796502483968642,0.40815666073724405,سارا,اسامی دختر
39,-1.3185006587861312,0.16709230758628818,مهسا,اسامی دختر
40,-1.895042647046885,-0.264946443743357,مرضیه,اسامی دختر
41,-0.5351915430129766,-0.4913703157327402,پزشک,شغل‌ها
42,-1.1757071651462292,-1.4038218200983312,مهندس,شغل‌ها
43,-0.6235527020354293,1.2630679806710945,پرستار,شغل‌ها
44,-0.0788671074778349,-1.1360833439934492,معمار,شغل‌ها
45,-0.8151139372138744,-0.168171996624341,معلم,شغل‌ها
46,-1.3521744457448386,-1.1451317494505782,استاد,شغل‌ها
47,-0.6354125790903449,-0.923118402314434,دبیر,شغل‌ها
48,-0.7648294362773738,-1.4514211554015035,مدیر,شغل‌ها
49,0.10088532779004918,0.2752492432866024,کارمند,شغل‌ها
50,0.23789334153689312,0.5431242190550375,کارگر,شغل‌ها
51,2.25398220129917,-1.3086956912972305,اکتبر,ماه‌های سال
52,2.2347313889263396,-1.4651836791779087,نوامبر,ماه‌های سال
53,2.0204640607704936,-1.352271884217071,ژانویه,ماه‌های سال
54,2.0825371213412103,-1.2712781549791785,فوریه,ماه‌های سال
55,2.03528511948378,-1.4073695690366663,دسامبر,ماه‌های سال
56,2.214530876993629,-1.2631713607491386,مارس,ماه‌های سال
57,2.1258072039441114,-1.2951762740578658,آوریل,ماه‌های سال
58,-0.32760773679485805,2.983804105975242,گرگ,حیوان
59,-0.6897475375251854,3.7818323841107797,گوسفند,حیوان
60,-1.0606819110024124,3.7838987393280035,بز,حیوان
61,-0.5759080416820012,3.24272453342522,پلنگ,حیوان
62,-0.2207562557558663,3.45002667452759,خرس,حیوان
63,-0.9470810187358779,-0.6794847805372143,شاه,غیره
64,0.8800863398995872,-0.02599988658165318,پادشاه,غیره
65,0.45925273925502696,0.3303371657651791,ملکه,غیره
66,0.28957346443130044,1.8256872162172813,مرد,غیره
67,0.5909553681834736,1.4947417402404883,زن,غیره
68,-1.2132263261525564,1.1062909097665363,دختر,غیره
69,-1.5757752328404384,0.2930425240998565,پسر,غیره
